date,round,day,venue,result,GF,GA,opponent,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,time,match_report
2017-08-05,Matchweek 1,Sat,Away,L,0,2,Paris S-G,32,481,77,226,194,72,5,481,15,7,46.7,8,53.3,232,1530,758,14,13,2,18,12,266,19,17:15:00,/en/matches/37f2c25f/Paris-Saint-Germain-Amiens-August-5-2017-Ligue-1
2017-08-12,Matchweek 2,Sat,Home,L,0,2,Angers,59,668,55,166,375,138,13,668,18,16,88.9,2,11.1,474,2624,1565,27,22,4,21,16,447,56,20:00:00,/en/matches/b4dfc494/Amiens-Angers-August-12-2017-Ligue-1
2017-08-19,Matchweek 3,Sat,Away,L,0,3,Saint-Étienne,53,625,43,163,308,161,31,625,25,18,72.0,7,28.0,287,1475,764,22,14,11,19,19,385,45,20:00:00,/en/matches/63f60686/Saint-Etienne-Amiens-August-19-2017-Ligue-1
2017-08-26,Matchweek 4,Sat,Home,W,3,0,Nice,35,453,57,161,185,108,17,453,13,10,76.9,3,23.1,191,1107,549,14,11,4,13,14,236,25,20:00:00,/en/matches/3721577e/Amiens-Nice-August-26-2017-Ligue-1
2017-09-09,Matchweek 5,Sat,Away,W,1,0,Strasbourg,42,483,62,177,228,86,6,483,13,12,92.3,1,7.7,214,1411,788,24,21,1,16,19,241,29,20:00:00,/en/matches/1bb575dc/Strasbourg-Amiens-September-9-2017-Ligue-1
2017-09-17,Matchweek 6,Sun,Home,L,0,2,Marseille,49,538,49,159,255,128,12,538,14,9,64.3,5,35.7,221,993,471,15,8,2,17,18,287,32,15:00:00,/en/matches/17e4d987/Amiens-Marseille-September-17-2017-Ligue-1
2017-09-23,Matchweek 7,Sat,Away,L,0,1,Caen,44,514,73,219,217,80,5,514,8,6,75.0,2,25.0,195,963,434,7,7,2,18,11,248,21,20:00:00,/en/matches/bf0d3d76/Caen-Amiens-September-23-2017-Ligue-1
2017-10-14,Matchweek 9,Sat,Away,L,0,1,Toulouse,44,543,59,199,264,88,5,543,7,6,85.7,1,14.3,277,1315,736,11,10,3,14,19,340,24,20:00:00,/en/matches/124f3988/Toulouse-Amiens-October-14-2017-Ligue-1
2017-10-21,Matchweek 10,Sat,Home,W,1,0,Bordeaux,41,536,71,207,231,102,23,536,12,7,58.3,5,41.7,223,1259,643,12,12,0,21,11,292,34,20:00:00,/en/matches/e1998b65/Amiens-Bordeaux-October-21-2017-Ligue-1
2017-10-28,Matchweek 11,Sat,Away,D,1,1,Guingamp,33,402,59,166,173,65,16,402,12,6,50.0,6,50.0,197,842,397,9,6,1,16,6,176,16,20:00:00,/en/matches/9013f9c0/Guingamp-Amiens-October-28-2017-Ligue-1
2017-11-04,Matchweek 12,Sat,Away,D,1,1,Montpellier,49,616,59,191,338,93,8,616,9,4,44.4,5,55.6,295,1525,762,14,16,0,16,13,403,42,20:00:00,/en/matches/0fd4c53e/Montpellier-Amiens-November-4-2017-Ligue-1
2017-11-17,Matchweek 13,Fri,Home,D,1,1,Monaco,37,476,73,192,196,94,19,476,17,9,52.9,8,47.1,178,1272,697,23,11,6,11,10,216,29,20:45:00,/en/matches/78612794/Amiens-Monaco-November-17-2017-Ligue-1
2017-11-20,Matchweek 8,Mon,Home,W,3,0,Lille,34,428,58,172,188,81,14,428,16,11,68.8,5,31.3,204,981,474,16,9,3,18,17,214,34,19:00:00,/en/matches/349fe67c/Amiens-Lille-November-20-2017-Ligue-1
2017-11-25,Matchweek 14,Sat,Away,W,2,0,Metz,50,580,71,192,291,103,11,580,10,9,90.0,1,10.0,319,1431,759,18,12,4,21,13,311,30,20:00:00,/en/matches/ec94cda6/Metz-Amiens-November-25-2017-Ligue-1
