league,season,game,date,home_team,away_team,B365H,B365D,B365A
ENG-Premier League,1819,2018-08-10 Man United-Leicester,2018-08-10,Man United,Leicester,1.57,3.9,7.5
ENG-Premier League,1819,2018-08-11 Bournemouth-Cardiff,2018-08-11,Bournemouth,Cardiff,1.9,3.6,4.5
ENG-Premier League,1819,2018-08-11 Fulham-Crystal Palace,2018-08-11,Fulham,Crystal Palace,2.5,3.4,3.0
ENG-Premier League,1819,2018-08-11 Huddersfield-Chelsea,2018-08-11,Huddersfield,Chelsea,6.5,4.0,1.61
ENG-Premier League,1819,2018-08-11 Newcastle-Tottenham,2018-08-11,Newcastle,Tottenham,3.9,3.5,2.04
ENG-Premier League,1819,2018-08-11 Watford-Brighton,2018-08-11,Watford,Brighton,2.37,3.2,3.4
ENG-Premier League,1819,2018-08-11 Wolves-Everton,2018-08-11,Wolves,Everton,2.37,3.3,3.3
ENG-Premier League,1819,2018-08-12 Arsenal-Man City,2018-08-12,Arsenal,Man City,4.0,3.8,1.95
ENG-Premier League,1819,2018-08-12 Liverpool-West Ham,2018-08-12,Liverpool,West Ham,1.25,6.5,14.0
ENG-Premier League,1819,2018-08-12 Southampton-Burnley,2018-08-12,Southampton,Burnley,1.85,3.5,5.0
ENG-Premier League,1819,2018-08-18 Cardiff-Newcastle,2018-08-18,Cardiff,Newcastle,3.25,3.1,2.54
ENG-Premier League,1819,2018-08-18 Chelsea-Arsenal,2018-08-18,Chelsea,Arsenal,1.8,4.0,4.5
ENG-Premier League,1819,2018-08-18 Everton-Southampton,2018-08-18,Everton,Southampton,1.9,3.5,4.75
ENG-Premier League,1819,2018-08-18 Leicester-Wolves,2018-08-18,Leicester,Wolves,2.04,3.5,3.9
ENG-Premier League,1819,2018-08-18 Tottenham-Fulham,2018-08-18,Tottenham,Fulham,1.28,6.0,12.0
ENG-Premier League,1819,2018-08-18 West Ham-Bournemouth,2018-08-18,West Ham,Bournemouth,2.1,3.6,3.7
ENG-Premier League,1819,2018-08-19 Brighton-Man United,2018-08-19,Brighton,Man United,5.5,3.6,1.75
ENG-Premier League,1819,2018-08-19 Burnley-Watford,2018-08-19,Burnley,Watford,2.45,3.1,3.4
ENG-Premier League,1819,2018-08-19 Man City-Huddersfield,2018-08-19,Man City,Huddersfield,1.1,13.0,26.0
ENG-Premier League,1819,2018-08-20 Crystal Palace-Liverpool,2018-08-20,Crystal Palace,Liverpool,7.0,5.0,1.44
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham,2018-08-25,Arsenal,West Ham,1.36,5.5,9.0
ENG-Premier League,1819,2018-08-25 Bournemouth-Everton,2018-08-25,Bournemouth,Everton,2.62,3.6,2.75
ENG-Premier League,1819,2018-08-25 Huddersfield-Cardiff,2018-08-25,Huddersfield,Cardiff,2.37,3.0,3.7
